condition,group,stem,n_sickle,n_cells,polymer_length_um,polymer_um_per_100_cells,polymer_um_per_100_sickle_cells
A-UNT,neg_control,D12_03_1_3_Bright Field_001,0,41,16.134062453180277,39.35137183702506,
A-UNT,neg_control,D12_03_1_3_Bright Field_002,0,20,7.153080972384295,35.765404861921475,
A-UNT,neg_control,D12_03_1_4_Bright Field_001,2,47,16.42233274560635,34.9411335012901,821.1166372803175
A-UNT,neg_control,D12_03_1_4_Bright Field_002,0,40,6.404298138094434,16.010745345236085,
A-UNT,neg_control,D12_03_1_5_Bright Field_001,0,45,17.206002178088678,38.235560395752614,
A-UNT,neg_control,D12_03_1_5_Bright Field_002,1,47,9.987571615882905,21.250152374218946,998.7571615882905
A-UNT,neg_control,D12_03_1_6_Bright Field_001,1,40,4.02909428907599,10.072735722689975,402.909428907599
A-UNT,neg_control,D12_03_1_6_Bright Field_002,0,32,0.0,0.0,
A-UNT,neg_control,D12_03_1_7_Bright Field_001,1,39,0.0,0.0,0.0
A-UNT,neg_control,D12_03_1_7_Bright Field_002,0,28,0.0,0.0,
A-UNT,neg_control,D12_03_1_8_Bright Field_001,0,54,26.875570901832077,49.76957574413348,
A-UNT,neg_control,D12_03_1_8_Bright Field_002,0,43,20.930058716151276,48.674555153840174,
A-UNT,neg_control,D12_03_1_9_Bright Field_001,0,32,9.809709386014008,30.655341831293775,
A-UNT,neg_control,D12_03_1_9_Bright Field_002,0,53,6.587361419195316,12.428983809802483,
A-UNT,neg_control,D13_03_1_10_Bright Field_001,1,32,6.128501965018229,19.151568640681965,612.8501965018229
A-UNT,neg_control,D13_03_1_10_Bright Field_002,0,40,2.437736163777288,6.09434040944322,
A-UNT,neg_control,D13_03_1_11_Bright Field_001,1,22,1.9536081796367026,8.88003718016683,195.36081796367026
A-UNT,neg_control,D13_03_1_11_Bright Field_002,1,32,1.7182147847912925,5.369421202472789,171.82147847912924
A-UNT,neg_control,D13_03_1_12_Bright Field_001,0,38,1.9973649103931645,5.256223448403065,
A-UNT,neg_control,D13_03_1_12_Bright Field_002,0,33,3.6312900268572,11.003909172294545,
A-UNT,neg_control,D13_03_1_13_Bright Field_001,1,33,8.217566596816138,24.9017169600489,821.7566596816138
A-UNT,neg_control,D13_03_1_13_Bright Field_002,0,28,5.855625851649162,20.91294947017558,
A-UNT,neg_control,D13_03_1_14_Bright Field_001,0,32,0.0,0.0,
A-UNT,neg_control,D13_03_1_14_Bright Field_002,0,43,12.55022418148533,29.18656786391937,
A-UNT,neg_control,D13_03_1_15_Bright Field_001,0,33,4.742423537468023,14.370980416569767,
A-UNT,neg_control,D13_03_1_15_Bright Field_002,0,34,3.6814602597983725,10.827824293524625,
A-UNT,neg_control,D13_03_1_16_Bright Field_001,1,33,37.88397082370119,114.79991158697331,3788.3970823701193
A-UNT,neg_control,D13_03_1_16_Bright Field_002,0,44,33.0185199019835,75.04209068632615,
A-UNT,neg_control,D13_03_1_1_Bright Field_001,0,35,0.0,0.0,
A-UNT,neg_control,D13_03_1_1_Bright Field_002,0,29,8.596794063258631,29.644117459512522,
A-UNT,neg_control,D13_03_1_2_Bright Field_001,0,32,0.0,0.0,
A-UNT,neg_control,D13_03_1_2_Bright Field_002,0,27,0.0,0.0,
A-UNT,neg_control,D13_03_1_3_Bright Field_001,0,23,8.284016868175229,36.01746464424013,
A-UNT,neg_control,D13_03_1_3_Bright Field_002,0,13,8.266696881513134,63.58997601163949,
A-UNT,neg_control,D13_03_1_4_Bright Field_001,0,44,25.3387836614304,57.588144685069096,
A-UNT,neg_control,D13_03_1_4_Bright Field_002,0,24,31.802245485200835,132.5093561883368,
A-UNT,neg_control,D13_03_1_5_Bright Field_001,0,37,0.0,0.0,
A-UNT,neg_control,D13_03_1_5_Bright Field_002,1,44,0.0,0.0,0.0
A-UNT,neg_control,D13_03_1_6_Bright Field_001,0,24,2.0066318924318116,8.360966218465881,
A-UNT,neg_control,D13_03_1_6_Bright Field_002,0,33,0.0,0.0,
A-UNT,neg_control,D13_03_1_7_Bright Field_001,0,29,0.0,0.0,
A-UNT,neg_control,D13_03_1_7_Bright Field_002,0,26,19.276459890414817,74.1402303477493,
