threshold_um,group,kept_frac,orphan_rate,mean_total_um_per_fov,mean_n_kept_per_fov
2.683,SLHi,0.28480804086340417,0.7335840323980329,90.00349383699204,12.390681003584229
2.683,SE1,0.19334686865531783,0.7600969305331179,39.12881448094441,5.268085106382979
2.683,SE2,0.13790783720147998,0.775609756097561,20.008592453596616,2.6623376623376624
2.803,neg_control,0.07187585080315818,0.9024621212121212,14.121323127378355,2.177319587628866
2.803,S-UNT,0.3011450790140192,0.730573323856906,134.95345768563416,17.158536585365855
2.803,SLN1,0.24338040600176522,0.7239347234814143,61.34621751533861,7.963898916967509
2.803,SLHi,0.27533366287691546,0.7301017354877319,88.87305372651365,11.978494623655914
2.803,SE1,0.18709979697017023,0.7612687813021702,38.82749363849978,5.119658119658119
2.803,SE2,0.13185334678775648,0.7755102040816326,20.07908139661418,2.596026490066225
2.923,neg_control,0.06813231690716036,0.9120879120879121,13.998490525390434,2.094142259414226
2.923,S-UNT,0.2925837405914458,0.7293952694464765,133.5571561831936,16.670731707317074
2.923,SLN1,0.23466460723742277,0.7249647390691114,60.74947646524238,7.706521739130435
2.923,SLHi,0.26701268742791234,0.7312557852514656,87.83878316537675,11.616487455197133
2.923,SE1,0.18085272528502264,0.7556131260794473,38.502212281276385,4.969957081545064
2.923,SE2,0.12781701984527413,0.7684210526315789,20.53125585279422,2.6027397260273974
3.043,neg_control,0.06452491151647155,0.9166666666666666,13.960253452774088,2.0256410256410255
3.043,S-UNT,0.2843612884814326,0.7272157059524557,132.29459773702553,16.218718209562564
3.043,SLN1,0.22738305383936452,0.7224648229015042,60.25362340303159,7.494545454545454
3.043,SLHi,0.25852694018783984,0.7291268323773104,87.04966877546391,11.287769784172662
3.043,SE1,0.1755427143526472,0.75355871886121,38.23148940697459,4.844827586206897
3.043,SE2,0.12142616885301043,0.7673130193905817,20.422345572553738,2.5069444444444446
3.163,neg_control,0.061462020147018785,0.9191583610188261,14.177083314278768,2.002217294900222
3.163,S-UNT,0.27606749188456464,0.7260627988112159,130.82692068113775,15.745676500508647
3.163,SLN1,0.2189982347749338,0.7204030226700252,59.83093143404689,7.271062271062271
3.163,SLHi,0.25102982369418353,0.727600918936659,86.03396188222649,10.96043165467626
3.163,SE1,0.16851475870685617,0.7534754402224282,37.95789380622946,4.691304347826087
3.163,SE2,0.1167171207534477,0.7579250720461095,20.40389819292557,2.443661971830986
3.284,neg_control,0.05860332153552954,0.9233449477351916,14.387608805051473,1.9793103448275862
