threshold_um,group,kept_frac,orphan_rate,mean_total_um_per_fov,mean_n_kept_per_fov
18.08,SLN1,0.9568231957138355,0.7394598155467721,54.647645820672786,10.652631578947368
18.08,SLHi,0.9677551858697885,0.7436332767402377,85.419531097672,16.533333333333335
18.08,SE1,0.9581728123280132,0.7518667432510052,32.1985904158119,6.569811320754717
18.08,SE2,0.9596774193548387,0.7478991596638656,15.583908560925071,3.1315789473684212
20.09,neg_control,0.9847601972209772,0.8174783796085571,12.035941956772584,3.184057971014493
20.09,S-UNT,0.9647798211574152,0.743890176190268,127.14928255670759,23.127401415571285
20.09,SLN1,0.965332492908919,0.7388181521384264,56.45891590891787,10.74736842105263
20.09,SLHi,0.9749435202300267,0.7423635980619339,87.73848112878676,16.656140350877195
20.09,SE1,0.9686296092460099,0.7511363636363636,33.565567820056515,6.6415094339622645
20.09,SE2,0.9758064516129032,0.7471074380165289,16.592210264332188,3.1842105263157894
22.1,neg_control,0.9865531151949798,0.817810086324398,12.155832691318611,3.189855072463768
22.1,S-UNT,0.9733845115572802,0.7425141916193613,131.50969676324925,23.33367037411527
22.1,SLN1,0.973526630948629,0.7364842991259307,58.36135188867103,10.83859649122807
22.1,SLHi,0.9811049496816595,0.7402135231316725,89.92792467232508,16.76140350877193
22.1,SE1,0.976884975233902,0.7504225352112676,34.74380973039275,6.69811320754717
22.1,SE2,0.9822580645161291,0.7487684729064039,17.03138972519884,3.205263157894737
24.11,neg_control,0.9892424921559838,0.818305391934753,12.355394929485698,3.198550724637681
24.11,S-UNT,0.9798802092120803,0.7412939606560199,135.09489900119857,23.48938321536906
24.11,SLN1,0.9817207689883392,0.7354735152487961,60.45299277828315,10.929824561403509
24.11,SLHi,0.98685561716985,0.7396462018730489,92.18991763349743,16.859649122807017
24.11,SE1,0.9829389102916896,0.7497200447928332,35.70433410350238,6.739622641509434
24.11,SE2,0.9870967741935484,0.7467320261437909,17.39863825232584,3.221052631578947
26.12,neg_control,0.9905871806364859,0.818552036199095,12.467963647966172,3.2028985507246377
26.12,S-UNT,0.9851105112198414,0.7405694712053094,138.2319457664563,23.614762386248735
26.12,SLN1,0.9858178380081941,0.7333759590792839,61.593927179524094,10.975438596491228
26.12,SLHi,0.9893201889505032,0.7398795931077434,93.2502603004318,16.901754385964914
26.12,SE1,0.988442487616951,0.7483296213808464,36.65033200651783,6.777358490566038
26.12,SE2,0.9951612903225806,0.7455429497568882,18.070587107573136,3.2473684210526317
28.13,neg_control,0.9923800986104886,0.8188798554652214,12.624486565602506,3.208695652173913
28.13,S-UNT,0.9889910578707609,0.7398814347251248,140.7586202517242,23.70778564206269
28.13,SLN1,0.9883391112511819,0.732780612244898,62.34685268029351,11.003508771929825
28.13,SLHi,0.9926062846580407,0.7394992758121249,94.76911338911557,16.957894736842107
28.13,SE1,0.9900935608145295,0.7481934408004447,36.95769857347442,6.788679245283019
28.13,SE2,0.9983870967741936,0.7463651050080775,18.348326084972822,3.2578947368421054
30.14,neg_control,0.9932765575974899,0.819043321299639,12.709331505372482,3.2115942028985507
30.14,S-UNT,0.9914796693099376,0.7396834850676423,142.49677115937223,23.767441860465116
30.14,SLN1,0.9914907028049165,0.7329942784488239,63.36913582810184,11.03859649122807
