polymer_idx,grid_row,grid_col,jpg_filename,source_stem,eval_h,eval_w,eval_diag_px,manual_len_px,was_clipped,start_xy_raw,end_xy_raw,start_xy_clipped,end_xy_clipped
159,9,1,K20_03_1_4_Bright Field_001__y887_x1545_h125_w125.jpg,K20_03_1_4_Bright Field_001,125,125,176.7766952966369,73.68174807915459,False,"[423.5, 2422.5]","[353.5, 2445.5]","[423.5, 2422.5]","[353.5, 2445.5]"
160,8,2,J20_03_1_9_Bright Field_001__y1154_x1280_h80_w80.jpg,J20_03_1_9_Bright Field_001,80,80,113.13708498984761,26.419689627245813,False,"[662.5, 2172.5]","[649.5, 2195.5]","[662.5, 2172.5]","[649.5, 2195.5]"
161,8,2,J20_03_1_9_Bright Field_001__y1154_x1280_h80_w80.jpg,J20_03_1_9_Bright Field_001,80,80,113.13708498984761,33.61547262794322,False,"[657.5, 2167.5]","[628.5, 2184.5]","[657.5, 2167.5]","[628.5, 2184.5]"
162,7,3,J20_03_1_3_Bright Field_001__y777_x723_h91_w91.jpg,J20_03_1_3_Bright Field_001,91,91,128.69343417595164,56.58147721078998,True,"[869.5, 1924.5]","[909.5, 1965.5]","[869.5, 1924.5]","[909.0121951219512, 1965.0]"
163,7,3,J20_03_1_3_Bright Field_001__y777_x723_h91_w91.jpg,J20_03_1_3_Bright Field_001,91,91,128.69343417595164,39.7789188719517,True,"[860.5, 1925.5]","[865.5, 1967.5]","[860.5, 1925.5]","[865.202380952381, 1965.0]"
164,7,3,J20_03_1_3_Bright Field_001__y777_x723_h91_w91.jpg,J20_03_1_3_Bright Field_001,91,91,128.69343417595164,47.01063709417264,False,"[875.5, 1920.5]","[922.5, 1919.5]","[875.5, 1920.5]","[922.5, 1919.5]"
165,7,2,J20_03_1_2_Bright Field_001__y651_x1775_h107_w107.jpg,J20_03_1_2_Bright Field_001,107,107,151.32085117392117,81.32035415564789,False,"[667.5, 1946.5]","[610.5, 1888.5]","[667.5, 1946.5]","[610.5, 1888.5]"
166,7,2,J20_03_1_2_Bright Field_001__y651_x1775_h107_w107.jpg,J20_03_1_2_Bright Field_001,107,107,151.32085117392117,19.515335968159473,True,"[676.5, 1950.5]","[695.5, 1938.5]","[676.5, 1950.5]","[693.0, 1940.078947368421]"
167,8,1,J20_03_1_8_Bright Field_002__y562_x1030_h128_w128.jpg,J20_03_1_8_Bright Field_002,128,128,181.01933598375618,121.49074038789952,False,"[416.5, 2224.5]","[350.5, 2122.5]","[416.5, 2224.5]","[350.5, 2122.5]"
168,8,1,J20_03_1_8_Bright Field_002__y562_x1030_h128_w128.jpg,J20_03_1_8_Bright Field_002,128,128,181.01933598375618,72.06247289678588,False,"[423.5, 2226.5]","[426.5, 2154.5]","[423.5, 2226.5]","[426.5, 2154.5]"
169,8,1,J20_03_1_8_Bright Field_002__y562_x1030_h128_w128.jpg,J20_03_1_8_Bright Field_002,128,128,181.01933598375618,62.297672508690084,False,"[407.5, 2231.5]","[348.5, 2211.5]","[407.5, 2231.5]","[348.5, 2211.5]"
170,9,0,K20_03_1_3_Bright Field_002__y808_x1526_h76_w76.jpg,K20_03_1_3_Bright Field_002,76,76,107.48023074035522,31.622776601683793,False,"[119.5, 2448.5]","[137.5, 2422.5]","[119.5, 2448.5]","[137.5, 2422.5]"
171,8,0,J20_03_1_7_Bright Field_002__y1042_x494_h128_w128.jpg,J20_03_1_7_Bright Field_002,128,128,181.01933598375618,110.30865786510141,False,"[170.5, 2136.5]","[92.5, 2214.5]","[170.5, 2136.5]","[92.5, 2214.5]"
172,7,0,J20_03_1_16_Bright Field_002__y1314_x877_h107_w107.jpg,J20_03_1_16_Bright Field_002,107,107,151.32085117392117,68.87670143089025,False,"[114.5, 1947.5]","[144.5, 1885.5]","[114.5, 1947.5]","[144.5, 1885.5]"
173,7,0,J20_03_1_16_Bright Field_002__y1314_x877_h107_w107.jpg,J20_03_1_16_Bright Field_002,107,107,151.32085117392117,34.117851306578224,True,"[99.5, 1932.5]","[72.5, 1908.5]","[99.5, 1932.5]","[74.0, 1909.8333333333333]"
174,9,0,K20_03_1_3_Bright Field_002__y808_x1526_h76_w76.jpg,K20_03_1_3_Bright Field_002,76,76,107.48023074035522,6.73145600891813,True,"[92.5, 2456.5]","[88.5, 2446.5]","[92.5, 2456.5]","[90.0, 2450.25]"
175,9,0,K20_03_1_3_Bright Field_002__y808_x1526_h76_w76.jpg,K20_03_1_3_Bright Field_002,76,76,107.48023074035522,11.40175425099138,False,"[114.5, 2447.5]","[111.5, 2436.5]","[114.5, 2447.5]","[111.5, 2436.5]"
