jpg_filename,grid_row,grid_col,eval_h,eval_w,polymer_idx,manual_len_px,model_cc_id,model_skel_len_px,model_major_axis_px,centroid_distance_px
K20_03_1_3_Bright Field_001__y864_x1478_h64_w64.jpg,8,9,64,64,130,13.892443989449804,4,10,16.447240613448614,0.6191128986299672
K20_03_1_3_Bright Field_001__y864_x1478_h64_w64.jpg,8,9,64,64,131,16.1245154965971,3,15,21.132690575508807,6.710989100959625
K20_03_1_3_Bright Field_001__y864_x1478_h64_w64.jpg,8,9,64,64,132,14.142135623730951,2,12,16.027222089060636,3.943191374721386
K20_03_1_3_Bright Field_001__y864_x1478_h64_w64.jpg,8,9,64,64,133,18.384776310850235,5,3,5.376796813410203,13.376876631051319
K20_03_1_9_Bright Field_002__y1449_x817_h106_w106.jpg,9,9,106,106,134,36.83445868936823,1,38,47.29757028756183,0.6936362343816557
K20_03_1_9_Bright Field_002__y1449_x817_h106_w106.jpg,9,9,106,106,135,90.76735656474457,2,75,74.51996933047245,3.396627896089712
K20_03_1_1_Bright Field_002__y652_x284_h128_w128.jpg,8,8,128,128,136,93.74433316206373,1,85,98.57182342289275,1.6005932229791393
K20_03_1_9_Bright Field_001__y1512_x801_h127_w127.jpg,9,8,127,127,138,94.86832980505137,1,78,104.92234205189894,2.0429834068366195
K20_03_1_9_Bright Field_001__y1512_x801_h127_w127.jpg,9,8,127,127,139,79.40403012442127,2,76,98.23691563622783,9.34650503201665
K20_03_1_8_Bright Field_002__y1028_x1666_h100_w100.jpg,9,7,100,100,140,49.47726750741192,1,48,52.69367845872357,1.0352112211252427
J20_03_1_5_Bright Field_001__y184_x417_h93_w93.jpg,7,6,93,93,141,55.54277630799526,1,45,51.184295313605254,10.072298970435794
K20_03_1_11_Bright Field_002__y1163_x1031_h93_w93.jpg,8,6,93,93,142,36.68787265568828,1,38,45.812478498957724,6.274445448611021
K20_03_1_11_Bright Field_002__y1163_x1031_h93_w93.jpg,8,6,93,93,143,35.608987629529715,2,31,45.57132968437227,2.2517648370183445
K20_03_1_7_Bright Field_001__y1534_x1146_h93_w93.jpg,9,6,93,93,144,44.94441010848846,1,41,54.84759000139082,2.3796016259908637
K20_03_1_6_Bright Field_001__y935_x516_h73_w73.jpg,9,5,73,73,145,25.238858928247925,1,22,30.371293600376216,2.9091944749736407
K20_03_1_11_Bright Field_001__y1163_x1048_h65_w65.jpg,8,5,65,65,146,34.0147027033899,1,54,42.421181802401485,6.220633014728705
J20_03_1_4_Bright Field_002__y787_x1049_h67_w67.jpg,7,5,67,67,148,32.84456766346605,2,33,44.429865251902285,3.3214147529261564
J20_03_1_4_Bright Field_002__y787_x1049_h67_w67.jpg,7,5,67,67,149,16.278820596099706,1,15,24.40415624645834,0.36658646083880475
J20_03_1_4_Bright Field_001__y629_x915_h118_w118.jpg,7,4,118,118,150,71.11961754677819,1,64,75.01713593968178,1.268111142919311
J20_03_1_4_Bright Field_001__y629_x915_h118_w118.jpg,7,4,118,118,151,59.53990258641679,2,56,66.59672425999243,2.995022368721069
K20_03_1_5_Bright Field_002__y657_x919_h111_w111.jpg,9,4,111,111,152,50.00999900019995,1,87,61.77920795288878,6.316719290070734
K20_03_1_10_Bright Field_002__y1000_x1304_h64_w64.jpg,8,4,64,64,154,27.024803422041796,2,25,30.96908451075266,3.649074940644138
K20_03_1_10_Bright Field_002__y1000_x1304_h64_w64.jpg,8,4,64,64,155,27.730849247724095,1,12,18.719492641610486,1.9225568660988748
K20_03_1_5_Bright Field_001__y1840_x1056_h64_w64.jpg,9,3,64,64,156,18.788294228055936,2,23,29.71773977802993,4.144298602949402
K20_03_1_5_Bright Field_001__y1840_x1056_h64_w64.jpg,9,3,64,64,157,15.620499351813308,1,17,24.440492944755572,5.812486822095646
K20_03_1_4_Bright Field_002__y621_x1180_h101_w101.jpg,9,2,101,101,158,66.48308055437865,1,49,72.9918434140568,2.4827369853621004
K20_03_1_4_Bright Field_001__y887_x1545_h125_w125.jpg,9,1,125,125,159,73.68174807915459,1,79,81.86055086481609,3.9872584142972096
J20_03_1_9_Bright Field_001__y1154_x1280_h80_w80.jpg,8,2,80,80,160,26.419689627245813,2,20,30.90758048294866,5.398009869975512
J20_03_1_9_Bright Field_001__y1154_x1280_h80_w80.jpg,8,2,80,80,161,33.61547262794322,1,30,41.198499029103886,2.213210179266006
J20_03_1_3_Bright Field_001__y777_x723_h91_w91.jpg,7,3,91,91,162,56.58147721078998,3,41,61.63504898779976,2.462799768122655
J20_03_1_3_Bright Field_001__y777_x723_h91_w91.jpg,7,3,91,91,163,39.7789188719517,4,36,44.35702952025269,0.7763971898373528
J20_03_1_3_Bright Field_001__y777_x723_h91_w91.jpg,7,3,91,91,164,47.01063709417264,2,40,46.48553899897883,2.922304399617727
J20_03_1_2_Bright Field_001__y651_x1775_h107_w107.jpg,7,2,107,107,165,81.32035415564789,1,59,85.0195389382858,1.6236767399352243
J20_03_1_2_Bright Field_001__y651_x1775_h107_w107.jpg,7,2,107,107,166,19.515335968159473,2,17,21.32508378825748,2.823134630429915
J20_03_1_8_Bright Field_002__y562_x1030_h128_w128.jpg,8,1,128,128,167,121.49074038789952,1,84,104.95043537564366,6.550972656561523
J20_03_1_8_Bright Field_002__y562_x1030_h128_w128.jpg,8,1,128,128,168,72.06247289678588,2,73,82.14186307391688,5.653977841743888
J20_03_1_8_Bright Field_002__y562_x1030_h128_w128.jpg,8,1,128,128,169,62.297672508690084,4,1,2.3094010767585034,11.480660066196355
K20_03_1_3_Bright Field_002__y808_x1526_h76_w76.jpg,9,0,76,76,170,31.622776601683793,1,26,36.376777862758175,2.0245279342562856
K20_03_1_3_Bright Field_002__y808_x1526_h76_w76.jpg,9,0,76,76,174,6.73145600891813,3,5,6.204045653994718,4.841562589266518
K20_03_1_3_Bright Field_002__y808_x1526_h76_w76.jpg,9,0,76,76,175,11.40175425099138,2,19,24.077846554341722,6.308716670004922
J20_03_1_7_Bright Field_002__y1042_x494_h128_w128.jpg,8,0,128,128,171,110.30865786510141,1,77,116.86716291758925,3.150651362303039
J20_03_1_16_Bright Field_002__y1314_x877_h107_w107.jpg,7,0,107,107,172,68.87670143089025,1,56,70.1129297745889,3.5873092669206237
J20_03_1_16_Bright Field_002__y1314_x877_h107_w107.jpg,7,0,107,107,173,34.117851306578224,2,26,34.76972857515497,2.7020711313363663
